0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/js/html5shiv.js HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/css/main.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/js/isotope.pkgd.min.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/images/2.jpg HTTP/1.1" 200 13136
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/images/1.jpg HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/js/html5shiv.js HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/js/isotope.pkgd.min.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/images/3.jpg HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/js/PIE.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/images/4.jpg HTTP/1.1" 200 7882
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/images/6.jpg HTTP/1.1" 200 6930
0:0:0:0:0:0:0:1 - - [02/Nov/2019:21:39:17 +0900] "GET /JavaScript_jQuery/project/images/5.jpg HTTP/1.1" 200 8796
